"","d","theta","rho","offsets","logsdcounty","logsdyears","dgr","thetagr","rhogr","offsetsgr","logsdcountygr","logsdyearsgr"
"445",85,0.5,0.5,1.01,0,0,8.6675644710609e-21,1.55305820442486e-18,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"446",110,0.5,0.5,1.01,0,0,3.23010066302755e-26,7.40275961545661e-24,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"447",135,0.5,0.5,1.01,0,0,1.20374648820049e-31,3.36062500440787e-29,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"448",160,0.5,0.5,1.01,0,0,4.48594566863093e-37,1.4766856667159e-34,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"449",10,0.75,0.5,1.01,0,0,6.02052105160921e-06,0.000121785675468561,-0.603983768467739,24.3687377185029,-79.43676564448,22.0767108042662
"450",35,0.75,0.5,1.01,0,0,4.33123866971391e-14,2.31988767954875e-12,-0.603988560693024,24.3687301502211,-79.4367660273423,22.0767083452821
"451",60,0.75,0.5,1.01,0,0,3.11595071760123e-22,2.70760829740905e-20,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"452",85,0.75,0.5,1.01,0,0,2.24165639783607e-30,2.69510822783607e-28,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"453",110,0.75,0.5,1.01,0,0,1.61267743343131e-38,2.47645585669478e-36,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"454",135,0.75,0.5,1.01,0,0,1.16018159911086e-46,2.16832248738269e-44,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"455",160,0.75,0.5,1.01,0,0,8.34650076333918e-55,1.83813673479903e-52,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"456",10,1,0.5,1.01,0,0,1.74425899665753e-07,2.69165543327305e-06,-0.603988456618773,24.3687303146371,-79.4367660192764,22.0767084011207
"457",35,1,0.5,1.01,0,0,2.42241706438097e-18,9.79419855481382e-17,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"458",60,1,0.5,1.01,0,0,3.3642392207654e-29,2.20127260250702e-27,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"459",85,1,0.5,1.01,0,0,4.67223654463004e-40,4.22517416966763e-38,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"460",110,1,0.5,1.01,0,0,6.48877588556553e-51,7.49009214019546e-49,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"461",135,1,0.5,1.01,0,0,9.01157552510654e-62,1.26550917999208e-59,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"462",160,1,0.5,1.01,0,0,1.25152255027565e-72,2.07041268280154e-70,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"463",10,1.25,0.5,1.01,0,0,4.51774073738809e-09,5.62662049300668e-08,-0.603988558538259,24.3687301536262,-79.4367660271808,22.076708346489
"464",35,1.25,0.5,1.01,0,0,1.21120803877396e-22,3.93091520760606e-21,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"465",60,1.25,0.5,1.01,0,0,3.24725343664138e-36,1.70333057487974e-34,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"466",85,1.25,0.5,1.01,0,0,8.70589902330334e-50,6.30781566402409e-48,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"467",110,1.25,0.5,1.01,0,0,2.3340548953994e-63,2.15793879833026e-61,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"468",135,1.25,0.5,1.01,0,0,6.25761020218084e-77,7.036964305196e-75,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"469",160,1.25,0.5,1.01,0,0,1.6776677155118e-90,2.22214639506963e-88,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"470",10,1.5,0.5,1.01,0,0,1.09451531063468e-10,1.14163627417988e-09,-0.603988560649984,24.3687301502882,-79.4367660273391,22.0767083453074
"471",35,1.5,0.5,1.01,0,0,5.66472419486582e-27,1.53498083250607e-25,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"472",60,1.5,0.5,1.01,0,0,2.93180916632246e-43,1.28307263420243e-41,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"473",85,1.5,0.5,1.01,0,0,1.51737396068158e-59,9.16956959588981e-58,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"474",110,1.5,0.5,1.01,0,0,7.85325239787893e-76,6.05463658195203e-74,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"475",135,1.5,0.5,1.01,0,0,4.06449397596681e-92,3.81102612966443e-90,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"476",160,1.5,0.5,1.01,0,0,2.10360121433665e-108,2.32301773865211e-106,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"477",10,1.75,0.5,1.01,0,0,2.53952476996652e-12,2.277082358038e-11,-0.603988560692441,24.3687301502226,-79.4367660273422,22.0767083452824
"478",35,1.75,0.5,1.01,0,0,2.53728276784903e-31,5.89976171976913e-30,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"479",60,1.75,0.5,1.01,0,0,2.53504274506788e-50,9.51604279119668e-49,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"480",85,1.75,0.5,1.01,0,0,2.53280469987553e-69,1.31259340461347e-67,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"481",110,1.75,0.5,1.01,0,0,2.53056863052608e-88,1.67294439484214e-86,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"482",135,1.75,0.5,1.01,0,0,2.52833453527522e-107,2.03265809519316e-105,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"483",160,1.75,0.5,1.01,0,0,2.5261024123802e-126,2.39173535005866e-124,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"484",10,2,0.5,1.01,0,0,5.72097206743947e-14,4.49622556641429e-13,-0.603988560692965,24.3687301502212,-79.4367660273423,22.0767083452821
"485",35,2,0.5,1.01,0,0,1.103432400528e-35,2.2464999384233e-34,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
"486",60,2,0.5,1.01,0,0,2.12824507475683e-57,6.99324275813105e-56,-0.60398856069299,24.368730150222,-79.4367660273423,22.0767083452821
