"","county","year","shareduserfoi","incidence","previousyear","previnf"
"642","Buncombe-North Carolina","2012",1.18126201054957,1,0,0.312241927485764
"649","Butler-Pennsylvania","2007",0,0,0,0.492717386746918
"650","Butler-Pennsylvania","2008",0,0,0,0
"651","Butler-Pennsylvania","2009",0.103719002852813,0,0,0
"652","Butler-Pennsylvania","2010",0.089739834730139,0,0,0.103719002852813
"653","Butler-Pennsylvania","2011",0.857164663218796,1,0,0.089739834730139
"661","Calhoun-Alabama","2007",0,0,0,0.417977604179493
"662","Calhoun-Alabama","2008",0,0,0,0
"663","Calhoun-Alabama","2009",0.0313534150254096,0,0,0
"664","Calhoun-Alabama","2010",0.00120659963568306,0,0,0.0313534150254096
"665","Calhoun-Alabama","2011",0.102815648648978,0,0,0.00120659963568306
"666","Calhoun-Alabama","2012",0.135672724549278,0,0,0.102815648648978
"667","Calhoun-Alabama","2013",0.287233064718983,0,0,0.135672724549278
"668","Calhoun-Alabama","2014",0.404610748991529,0,0,0.287233064718983
"669","Calhoun-Alabama","2015",0.336030535203142,1,0,0.404610748991529
"673","Callaway-Missouri","2007",0,0,0,0.273039582236383
"674","Callaway-Missouri","2008",0,0,0,0
"675","Callaway-Missouri","2009",0.00102475288398739,0,0,0
"676","Callaway-Missouri","2010",0.00170760946046975,0,0,0.00102475288398739
"677","Callaway-Missouri","2011",0.021226508345328,0,0,0.00170760946046975
"678","Callaway-Missouri","2012",0.0197448489044584,0,0,0.021226508345328
"679","Callaway-Missouri","2013",0.026439352690621,0,0,0.0197448489044584
"680","Callaway-Missouri","2014",0.0372512874433005,1,0,0.026439352690621
"685","Calumet-Wisconsin","2007",0,0,0,0.0426609627945602
"686","Calumet-Wisconsin","2008",0,0,0,0
"687","Calumet-Wisconsin","2009",0.00246277150125291,0,0,0
"688","Calumet-Wisconsin","2010",0.0024551232344992,0,0,0.00246277150125291
"689","Calumet-Wisconsin","2011",0.00955237081647151,0,0,0.0024551232344992
"690","Calumet-Wisconsin","2012",0.0952746451406395,0,0,0.00955237081647151
"691","Calumet-Wisconsin","2013",0.04102145638185,0,0,0.0952746451406395
"692","Calumet-Wisconsin","2014",0.155439652442669,0,0,0.04102145638185
"693","Calumet-Wisconsin","2015",0.276030456596606,0,0,0.155439652442669
"694","Calumet-Wisconsin","2016",0.144226222668363,1,0,0.276030456596606
"697","Cambria-Pennsylvania","2007",0,0,0,0.10367361299573
"698","Cambria-Pennsylvania","2008",0,0,0,0
"699","Cambria-Pennsylvania","2009",0.160322288725963,0,0,0
"700","Cambria-Pennsylvania","2010",0.0823587817630154,0,0,0.160322288725963
