"","year","county1","county2","num.shared","incidence","date","inf.counties"
"347","2013-01-01","Keweenaw","Clearfield",1,0,2013-01-01,474
"348","2013-01-01","Keweenaw","Colchester County",1,0,2013-01-01,474
"349","2013-01-01","Keweenaw","Cuyahoga",1,0,2013-01-01,474
"350","2013-01-01","Keweenaw","Westmorland County",1,0,2013-01-01,474
"351","2013-01-01","Keweenaw","Franklin",1,0,2013-01-01,474
"352","2013-01-01","Keweenaw","Ulster",1,0,2013-01-01,474
"353","2013-01-01","Keweenaw","Bennington",1,0,2013-01-01,474
"354","2013-01-01","Keweenaw","Rowan",1,0,2013-01-01,474
"355","2013-01-01","Ontonagon","Ontonagon",1,0,2013-01-01,474
"356","2013-01-01","Ontonagon","Keweenaw",12,1,2013-01-01,474
"357","2013-01-01","Ontonagon","Maury",1,1,2013-01-01,474
"358","2013-01-01","Ontonagon","York County",1,1,2013-01-01,474
"359","2013-01-01","Ontonagon","Hardin",1,1,2013-01-01,474
"360","2013-01-01","Ontonagon","Hocking",1,1,2013-01-01,474
"361","2013-01-01","Ontonagon","Marion",1,1,2013-01-01,474
"362","2013-01-01","Ontonagon","Houghton",1,0,2013-01-01,474
"363","2013-01-01","Ontonagon","La Côte-De-Gaspé",1,0,2013-01-01,474
"364","2013-01-01","Ontonagon","Phelps",1,0,2013-01-01,474
"365","2013-01-01","Ontonagon","St. Louis County",1,0,2013-01-01,474
"366","2013-01-01","Ontonagon","Taney",1,0,2013-01-01,474
"367","2013-01-01","Ontonagon","Newton",1,0,2013-01-01,474
"368","2013-01-01","Ontonagon","Pulaski",1,0,2013-01-01,474
"369","2013-01-01","Ontonagon","Lewis",1,0,2013-01-01,474
"370","2013-01-01","Ontonagon","Warren",1,0,2013-01-01,474
"371","2013-01-01","Ontonagon","Edmonson",1,0,2013-01-01,474
"372","2013-01-01","Ontonagon","Lee",1,0,2013-01-01,474
"373","2013-01-01","Ontonagon","Rockcastle",1,0,2013-01-01,474
"374","2013-01-01","Ontonagon","Carter",1,0,2013-01-01,474
"375","2013-01-01","Ontonagon","Letcher",1,0,2013-01-01,474
"376","2013-01-01","Ontonagon","Meade",1,0,2013-01-01,474
"377","2013-01-01","Ontonagon","Washington",1,0,2013-01-01,474
"378","2013-01-01","Ontonagon","Haliburton County",1,0,2013-01-01,474
"379","2013-01-01","Ontonagon","Fairfield",1,0,2013-01-01,474
"380","2013-01-01","Ontonagon","Wise",1,0,2013-01-01,474
"381","2013-01-01","Ontonagon","Kings County",1,0,2013-01-01,474
"382","2013-01-01","Ontonagon","Nipissing District (Part 1 Of)",1,0,2013-01-01,474
"383","2013-01-01","Ontonagon","Halton Regional Municipality",1,0,2013-01-01,474
"384","2013-01-01","Ontonagon","Oxford",1,0,2013-01-01,474
"385","2013-01-01","Ontonagon","Saint John County",1,0,2013-01-01,474
"386","2013-01-01","Ontonagon","Roanoke",1,0,2013-01-01,474
"387","2013-01-01","Ontonagon","Crawford",1,0,2013-01-01,474
"388","2013-01-01","Ontonagon","Monroe",1,0,2013-01-01,474
"389","2013-01-01","Ontonagon","Montgomery",1,0,2013-01-01,474
"390","2013-01-01","Ontonagon","Smyth",1,0,2013-01-01,474
"391","2013-01-01","Ontonagon","Luzerne",1,0,2013-01-01,474
"392","2013-01-01","Ontonagon","Centre",1,0,2013-01-01,474
"393","2013-01-01","Ontonagon","Putnam",1,0,2013-01-01,474
"394","2013-01-01","Ontonagon","Giles",1,0,2013-01-01,474
"395","2013-01-01","Ontonagon","Hartford",1,0,2013-01-01,474
"396","2013-01-01","Ontonagon","Hamilton",1,0,2013-01-01,474
"397","2013-01-01","Ontonagon","Morris",1,0,2013-01-01,474
"398","2013-01-01","Ontonagon","Orange",1,0,2013-01-01,474
"399","2013-01-01","Ontonagon","Blair",1,0,2013-01-01,474
"400","2013-01-01","Ontonagon","Les Collines-De-L'Outaouais",1,0,2013-01-01,474
"401","2013-01-01","Ontonagon","Greenbrier",1,0,2013-01-01,474
"402","2013-01-01","Ontonagon","Sullivan",1,0,2013-01-01,474
"403","2013-01-01","Ontonagon","Hastings County",1,0,2013-01-01,474
"404","2013-01-01","Ontonagon","Huntingdon",1,0,2013-01-01,474
"405","2013-01-01","Ontonagon","Hancock",1,0,2013-01-01,474
"406","2013-01-01","Ontonagon","Clearfield",1,0,2013-01-01,474
"407","2013-01-01","Ontonagon","Colchester County",1,0,2013-01-01,474
"408","2013-01-01","Ontonagon","Cuyahoga",1,0,2013-01-01,474
